City_Town,Count,Per_1M_pp
Abington,143,7962
Acton,74,3118
Acushnet,35,3348
Adams,32,3864
Agawam,317,11082
Alford,0,0
Amesbury,72,4326
Amherst,83,2050
Andover,158,4387
Aquinnah,0,0
Arlington,218,4759
Ashburnham,16,2548
Ashby,8,2314
Ashfield,1,
Ashland,128,6566
Athol,38,3176
Attleboro,443,9575
Auburn,55,3335
Avon,48,10957
Ayer,40,4950
Barnstable,187,4170
Barre,37,6657
Becket,11,6110
Bedford,152,10204
Belchertown,62,3894
Bellingham,78,4363
Belmont,162,5933
Berkley,33,4867
Berlin,15,4697
Bernardston,1,
Beverly,363,8818
Billerica,346,7939
Blackstone,23,2543
Blandford,0,0
Bolton,9,1781
Boston,9284,13359
Bourne,121,5784
Boxborough,13,2545
Boxford,28,3628
Boylston,10,2228
Braintree,570,14482
Brewster,87,8777
Bridgewater,183,6433
Brimfield,1,
Brockton,2735,27838
Brookfield,6,1639
Brookline,263,4085
Buckland,7,3762
Burlington,173,6258
Cambridge,773,6854
Canton,219,9495
Carlisle,7,1468
Carver,26,2135
Charlemont,0,0
Charlton,38,2700
Chatham,11,1878
Chelmsford,229,6364
Chelsea,1965,52171
Cheshire,1,
Chester,6,4421
Chesterfield,1,
Chicopee,248,4350
Chilmark,1,
Clarksburg,7,4158
Clinton,87,6181
Cohasset,18,2433
Colrain,1,
Concord,117,6248
Conway,1,
Cummington,1,
Dalton,6,920
Danvers,467,16354
Dartmouth,161,4373
Dedham,239,8811
Deerfield,6,1125
Dennis,51,3857
Dighton,35,4461
Douglas,26,2766
Dover,14,2686
Dracut,296,9163
Dudley,40,3230
Dunstable,7,2101
Duxbury,47,3106
East Bridgewater,127,8606
East Brookfield,6,2677
East Longmeadow,178,10524
Eastham,10,2152
Easthampton,50,3084
Easton,195,8228
Edgartown,1,
Egremont,1,
Erving,1,
Essex,15,4032
Everett,1004,20686
Fairhaven,92,5739
Fall River,481,5378
Falmouth,124,3968
Fitchburg,238,5646
Florida,1,
Foxborough,77,4251
Framingham,816,10958
Franklin,86,2544
Freetown,54,5968
Gardner,104,5203
Georgetown,29,3246
Gill,1,
Gloucester,143,4996
Goshen,1,
Gosnold,0,0
Grafton,52,2607
Granby,18,2931
Granville,8,5140
Great Barrington,46,6769
Greenfield,157,9042
Groton,22,1889
Groveland,14,2049
Hadley,27,4695
Halifax,25,3272
Hamilton,21,2810
Hampden,16,3238
Hancock,1,
Hanover,44,3072
Hanson,66,6164
Hardwick,1,
Harvard,14,2021
Harwich,36,2866
Hatfield,8,2464
Haverhill,600,9112
Hawley,0,0
Heath,0,0
Hingham,148,6222
Hinsdale,1,
Holbrook,135,11952
Holden,50,2651
Holland,5,1953
Holliston,34,2466
Holyoke,596,14464
Hopedale,17,2994
Hopkinton,108,6620
Hubbardston,1,
Hudson,99,4726
Hull,32,3240
Huntington,9,4070
Ipswich,46,3421
Kingston,61,4497
Lakeville,41,3631
Lancaster,54,6303
Lanesborough,5,1641
Lawrence,1639,18588
Lee,15,2551
Leicester,91,8079
Lenox,12,2460
Leominster,207,5100
Leverett,1,
Lexington,257,7549
Leyden,0,0
Lincoln,25,2889
Littleton,76,7820
Longmeadow,177,11412
Lowell,1649,14111
Ludlow,59,2828
Lunenburg,34,3267
Lynn,2056,20376
Lynnfield,73,6267
Malden,751,11084
Manchester,13,2628
Mansfield,110,4654
Marblehead,118,6140
Marion,7,1508
Marlborough,429,9876
Marshfield,106,4099
Mashpee,37,2406
Mattapoisett,15,2594
Maynard,35,3354
Medfield,28,2456
Medford,756,12431
Medway,61,4664
Melrose,157,5428
Mendon,14,2417
Merrimac,16,2504
Methuen,576,10756
Middleborough,123,4569
Middlefield,0,0
Middleton,109,10563
Milford,316,10784
Millbury,144,10544
Millis,32,4053
Millville,10,2816
Milton,195,6811
Monroe,0,0
Monson,18,2134
Montague,19,2223
Monterey,0,0
Montgomery,1,
Mount Washington,0,0
Nahant,29,8863
Nantucket,11,970
Natick,280,7794
Needham,217,7403
New Ashford,0,0
New Bedford,579,5816
New Braintree,1,
New Marlborough,1,
New Salem,0,0
Newbury,6,902
Newburyport,46,2584
Newton,553,6029
Norfolk,18,1458
North Adams,42,3217
North Andover,170,5620
North Attleborough,158,5229
North Brookfield,7,1506
North Reading,141,8528
Northampton,167,5713
Northborough,130,9495
Northbridge,117,6506
Northfield,0,0
Norton,86,4330
Norwell,77,7193
Norwood,390,12952
Oak Bluffs,1,
Oakham,1,
Orange,26,3185
Orleans,13,2302
Otis,1,
Oxford,29,2104
Palmer,23,1934
Paxton,13,2627
Peabody,611,10957
Pelham,1,
Pembroke,52,2785
Pepperell,28,2280
Peru,1,
Petersham,5,3947
Phillipston,8,4667
Pittsfield,131,2959
Plainfield,0,0
Plainville,39,4275
Plymouth,222,3579
Plympton,5,1673
Princeton,1,
Provincetown,21,8003
Quincy,767,7584
Randolph,643,18791
Raynham,176,11783
Reading,190,6913
Rehoboth,32,2536
Revere,1123,18435
Richmond,5,3765
Rochester,14,2483
Rockland,206,11421
Rockport,33,5035
Rowe,0,0
Rowley,28,4535
Royalston,1,
Russell,8,4240
Rutland,28,3108
Salem,369,8197
Salisbury,33,3733
Sandisfield,1,
Sandwich,66,3138
Saugus,298,10484
Savoy,1,
Scituate,62,3421
Seekonk,43,3071
Sharon,91,4970
Sheffield,11,3563
Shelburne,6,3244
Sherborn,10,2606
Shirley,115,13643
Shrewsbury,183,4645
Shutesbury,1,
Somerset,61,3296
Somerville,573,7486
South Hadley,51,2818
Southampton,25,4163
Southborough,27,2777
Southbridge,53,3147
Southwick,39,3982
Spencer,23,1996
Springfield,1317,8318
Sterling,26,3302
Stockbridge,10,5735
Stoneham,260,11657
Stoughton,401,14499
Stow,16,2219
Sturbridge,24,2298
Sudbury,76,4245
Sunderland,9,2368
Sutton,25,2783
Swampscott,97,7077
Swansea,54,3381
Taunton,558,9742
Templeton,93,10413
Tewksbury,357,11594
Tisbury,1,
Tolland,1,
Topsfield,87,14887
Townsend,21,2295
Truro,9,4557
Tyngsborough,72,6005
Tyringham,1,
Upton,13,1438
Uxbridge,51,3309
Wakefield,210,7776
Wales,1,
Walpole,178,6872
Waltham,748,11221
Ware,15,1480
Wareham,115,4802
Warren,6,1107
Warwick,0,0
Washington,1,
Watertown,273,8230
Wayland,59,4442
Webster,75,4363
Wellesley,187,6289
Wellfleet,1,
Wendell,0,0
Wenham,12,2305
West Boylston,26,3312
West Bridgewater,65,8969
West Brookfield,10,2696
West Newbury,5,1225
West Springfield,217,7367
West Stockbridge,1,
West Tisbury,7,2428
Westborough,209,11092
Westfield,344,8274
Westford,115,4970
Westhampton,1,
Westminster,14,1909
Weston,80,7211
Westport,43,2584
Westwood,82,5563
Weymouth,504,8990
Whately,1,
Whitman,124,8042
Wilbraham,115,7908
Williamsburg,8,3243
Williamstown,79,10721
Wilmington,241,9888
Winchendon,51,4746
Winchester,76,3404
Windsor,0,0
Winthrop,167,8861
Woburn,344,8291
Worcester,2284,11904
Worthington,0,0
Wrentham,120,10644
Yarmouth,65,2706
Unknown1,446,
StateTotal,60265,8650
